Time,Run,image name,Y position,X position,Y comand position,X comand position,Z comand position,axis_x_position_error,axis_y_position_error,axis_z_position_error, pix_Y,pix_X, pix_R, temp0, temp1, temp2,temp3
2025-05-19-11-09-42,0,51.png,2,7,-42.766645,-1.375634,-3.400203,-4.88281E-006,4.88281E-006,         0,1499.855814966297,2047.9734295683825,215.617565424101,23.75,23.94,23.77,23.82 
2025-05-19-11-09-46,0,52.png,2,8,-41.766622,-1.375893,-3.400204,         0,9.76563E-006,         0,1499.9389350749975,2047.8445964415641,215.6199448278651,23.75,23.94,23.77,23.83 
2025-05-19-11-09-50,0,53.png,2,9,-40.766617,-1.375883,-3.400205,7.32422E-006,1.46484E-005,         0,1500.044269804795,2047.9826738051113,215.6442323915813,23.75,23.93,23.77,23.83 
2025-05-19-11-09-54,0,54.png,2,10,-39.766695,-1.375831,-3.400205,1.46484E-005,9.76563E-006,         0,1500.0000930505955,2048.074544348798,215.6405089474412,23.75,23.95,23.77,23.83 
2025-05-19-11-09-58,0,55.png,2,10,-39.766777,-1.37584,-3.400205,9.76563E-006,-4.88281E-006,         0,1499.86579396383,2048.00216226228,215.65120375145005,23.75,23.93,23.77,23.85 
2025-05-19-11-10-01,0,56.png,2,9,-40.766602,-1.375891,-3.400205,7.32422E-006,-4.88281E-006,   -0.0001,1500.0208542711846,2047.9965048001527,215.6493146303277,23.75,23.92,23.77,23.83 
2025-05-19-11-10-05,0,57.png,2,8,-41.766491,-1.376049,-3.400204,1.2207E-005,9.76563E-006,         0,1500.0182972195885,2048.0047765471677,215.6224262176464,23.75,23.93,23.77,23.82 
2025-05-19-11-10-09,0,58.png,2,7,-42.766598,-1.375887,-3.400203,4.88281E-006,9.76563E-006,         0,1500.1341412802763,2047.983200516854,215.63069513586896,23.75,23.94,23.77,23.84 
2025-05-19-11-10-13,0,59.png,2,6,-43.7668,-1.375262,-3.400203,2.44141E-006,4.88281E-006,         0,1499.8631871385537,2048.004607119858,215.6155950038203,23.75,23.93,23.77,23.82 
2025-05-19-11-10-17,0,60.png,2,5,-44.766677,-1.375411,-3.400202,4.88281E-006,-9.76563E-006,         0,1500.1046039469616,2047.9657057320667,215.60184960394022,23.75,23.94,23.77,23.84 
2025-05-19-11-10-21,0,61.png,2,4,-45.766336,-1.375945,-3.400201,-7.32422E-006,         0,         0,1500.155810109744,2047.9636806669985,215.60855891131732,23.75,23.93,23.77,23.84 
2025-05-19-11-10-25,0,62.png,2,3,-46.766228,-1.375707,-3.400201,         0,         0,         0,1499.9485606866613,2048.018809937917,215.62907095759803,23.75,23.93,23.77,23.83 
2025-05-19-11-10-29,0,63.png,2,2,-47.76656,-1.37508,-3.4002,7.32422E-006,         0,         0,1499.9364223482307,2048.0164545155067,215.58850722461202,23.75,23.93,23.77,23.84 
2025-05-19-11-10-33,0,64.png,2,1,-48.766475,-1.375051,-3.400199,-2.44141E-006,-9.76563E-006,    0.0001,1499.9326637911915,2048.0262504087355,215.59607959875348,23.75,23.94,23.77,23.84 
2025-05-19-11-10-37,0,65.png,2,0,-49.76608,-1.375485,-3.400199,2.44141E-006,         0,    0.0001,1500.17211005478,2048.008824930447,215.57539320818347,23.75,23.93,23.77,23.83 
2025-05-19-11-10-41,0,66.png,3,0,-49.766407,-0.37543,-3.400198,1.2207E-005,-4.88281E-006,    0.0001,1500.082936011784,2048.0352616396344,215.55642263776173,23.75,23.92,23.77,23.83 
2025-05-19-11-10-45,0,67.png,3,1,-48.766798,-0.375197,-3.400199,7.32422E-006,-9.76563E-006,    0.0001,1500.006159836782,2048.054980654121,215.5409056351893,23.75,23.93,23.77,23.84 
2025-05-19-11-10-49,0,68.png,3,2,-47.766952,-0.375152,-3.400199,         0,-1.46484E-005,    0.0001,1499.9173977527296,2048.012750980351,215.57704475901716,23.75,23.92,23.77,23.84 
2025-05-19-11-10-53,0,69.png,3,3,-46.766758,-0.375867,-3.4002,         0,9.76563E-006,   -0.0001,1499.9711511393987,2048.082629098017,215.56961472625147,23.75,23.92,23.77,23.84 
2025-05-19-11-10-57,0,70.png,3,4,-45.766682,-0.375851,-3.400201,-1.70898E-005,4.88281E-006,   -0.0001,1500.0488364767878,2047.9529389713757,215.61850382510903,23.75,23.92,23.77,23.84 
2025-05-19-11-11-01,0,71.png,3,5,-44.766973,-0.375469,-3.400201,7.32422E-006,-4.88281E-006,         0,1499.978928063242,2048.0132596792905,215.59206202662628,23.75,23.92,23.77,23.82 
2025-05-19-11-11-05,0,72.png,3,6,-43.767201,-0.375357,-3.400202,1.95313E-005,-9.76563E-006,   -0.0001,1500.1837075197689,2047.9711309963996,215.58919884912663,23.75,23.94,23.77,23.84 
2025-05-19-11-11-09,0,73.png,3,7,-42.76701,-0.375689,-3.400203,-2.44141E-006,9.76563E-006,   -0.0001,1500.1072082088072,2047.9636402925064,215.62396335582696,23.75,23.96,23.77,23.85 
2025-05-19-11-11-13,0,74.png,3,8,-41.766905,-0.375998,-3.400203,-2.44141E-006,9.76563E-006,   -0.0001,1500.0169359191607,2048.0080044743368,215.64230542963037,23.75,23.94,23.77,23.83 
2025-05-19-11-11-17,0,75.png,3,9,-40.767052,-0.375932,-3.400204,1.46484E-005,4.88281E-006,         0,1500.137188907925,2047.9578884216944,215.60900151208645,23.75,23.93,23.78,23.83 
2025-05-19-11-11-21,0,76.png,3,10,-39.767206,-0.375692,-3.400205,9.76563E-006,1.46484E-005,         0,1500.056901390079,2047.89033702795,215.63353220814048,23.75,23.95,23.77,23.83 
2025-05-19-11-11-24,0,77.png,3,10,-39.767186,-0.375831,-3.400205,4.88281E-006,1.46484E-005,   -0.0001,1500.0002215337956,2047.9285223614502,215.6304607436622,23.76,23.93,23.77,23.82 
2025-05-19-11-11-28,0,78.png,3,9,-40.767022,-0.375644,-3.400204,4.88281E-006,-9.76563E-006,    0.0001,1500.0097159552206,2047.9898362807282,215.60294348812326,23.76,23.93,23.77,23.84 
2025-05-19-11-11-32,0,79.png,3,8,-41.766864,-0.375823,-3.400203,7.32422E-006,-9.76563E-006,         0,1499.9835686564477,2048.075257022515,215.64229155255825,23.76,23.93,23.78,23.84 
2025-05-19-11-11-36,0,80.png,3,7,-42.766993,-0.375721,-3.400203,-2.44141E-006,         0,         0,1500.1019091208339,2047.8374837941692,215.61093243424392,23.76,23.95,23.78,23.84 
2025-05-19-11-11-40,0,81.png,3,6,-43.76708,-0.375263,-3.400202,         0,-4.88281E-006,         0,1499.9436336738213,2048.100578073341,215.58123270399494,23.76,23.92,23.77,23.84 
2025-05-19-11-11-45,0,82.png,3,5,-44.766958,-0.375231,-3.400201,         0,-1.46484E-005,    0.0001,1499.8855793899804,2047.9391137848572,215.59767790436365,23.76,23.94,23.77,23.84 
2025-05-19-11-11-49,0,83.png,3,4,-45.766625,-0.375721,-3.400201,-2.19727E-005,         0,         0,1499.9505735741257,2048.0541564878536,215.62245827510142,23.76,23.94,23.78,23.82 
2025-05-19-11-11-53,0,84.png,3,3,-46.766704,-0.375776,-3.4002,4.88281E-006,4.88281E-006,         0,1500.1519157719947,2047.9293851807176,215.56592322020458,23.76,23.94,23.78,23.83 
2025-05-19-11-11-57,0,85.png,3,2,-47.766884,-0.37518,-3.400199,         0,         0,    0.0001,1500.0149372925596,2047.9810329718314,215.58800609359025,23.76,23.94,23.78,23.84 
2025-05-19-11-12-01,0,86.png,3,1,-48.766907,-0.375072,-3.400199,         0,-4.88281E-006,    0.0001,1500.0841062204797,2047.9290280564196,215.53927089493942,23.76,23.94,23.78,23.83 
2025-05-19-11-12-05,0,87.png,3,0,-49.766406,-0.37525,-3.400198,-4.88281E-006,-4.88281E-006,    0.0001,1499.8708322684677,2047.9911948088882,215.55067844862253,23.76,23.94,23.78,23.84 
2025-05-19-11-12-09,0,88.png,4,0,-49.766784,0.624652,-3.400197,4.88281E-006,-1.46484E-005,    0.0001,1499.8891908052806,2047.9838899537708,215.54017210219743,23.76,23.94,23.78,23.85 
2025-05-19-11-12-13,0,89.png,4,1,-48.767196,0.624922,-3.400198,-1.2207E-005,-9.76563E-006,         0,1500.027577280574,2048.0354341090697,215.57589077235963,23.76,23.95,23.78,23.84 
2025-05-19-11-12-17,0,90.png,4,2,-47.767326,0.624749,-3.400199,-9.76563E-006,-9.76563E-006,    0.0001,1499.9506028259782,2048.015135008495,215.59561574707087,23.76,23.95,23.78,23.84 
2025-05-19-11-12-21,0,91.png,4,3,-46.766952,0.62434,-3.400199,1.2207E-005,-4.88281E-006,    0.0001,1499.9612412664803,2047.9943474512181,215.6086772147745,23.76,23.94,23.78,23.85 
2025-05-19-11-12-25,0,92.png,4,4,-45.766918,0.624135,-3.4002,         0,9.76563E-006,   -0.0001,1500.081824649646,2048.0519550724803,215.60096643093047,23.76,23.94,23.78,23.85 
2025-05-19-11-12-29,0,93.png,4,5,-44.767338,0.624672,-3.400201,7.32422E-006,-1.46484E-005,         0,1499.948690346318,2047.968374216379,215.62081360872426,23.76,23.94,23.78,23.84 
2025-05-19-11-12-33,0,94.png,4,6,-43.767394,0.624692,-3.400201,9.76563E-006,-9.76563E-006,         0,1499.8968404195257,2048.044975769017,215.6335238295048,23.76,23.94,23.78,23.84 
2025-05-19-11-12-37,0,95.png,4,7,-42.767303,0.624467,-3.400202,4.88281E-006,-4.88281E-006,         0,1499.9267636856287,2047.9590250180354,215.64185902607562,23.76,23.95,23.78,23.85 
2025-05-19-11-12-41,0,96.png,4,8,-41.767235,0.624114,-3.400203,         0,9.76563E-006,         0,1500.008642254596,2047.9842267034794,215.66545065809723,23.76,23.94,23.78,23.83 
2025-05-19-11-12-45,0,97.png,4,9,-40.76739,0.62414,-3.400203,-2.44141E-006,9.76563E-006,         0,1499.8950823113737,2047.9635517779716,215.6479717402249,23.76,23.95,23.78,23.85 
2025-05-19-11-12-49,0,98.png,4,10,-39.767574,0.624098,-3.400204,         0,4.88281E-006,   -0.0001,1499.8724274938832,2047.9819290794146,215.64763910754925,23.76,23.96,23.78,23.85 
2025-05-19-11-12-53,0,99.png,4,10,-39.767579,0.624207,-3.400204,-2.44141E-006,-4.88281E-006,         0,1499.9775828077022,2047.9933474131237,215.65078028164905,23.76,23.95,23.78,23.84 
2025-05-19-11-12-57,0,100.png,4,9,-40.767393,0.624201,-3.400203,-1.2207E-005,-9.76563E-006,         0,1500.02874553342,2047.894466063102,215.64904121222392,23.77,23.95,23.78,23.85 
2025-05-19-11-13-01,0,101.png,4,8,-41.767146,0.624155,-3.400203,1.2207E-005,         0,         0,1499.9559737958305,2048.0535600653034,215.6645845414175,23.77,23.93,23.78,23.82 
2025-05-19-11-13-05,0,102.png,4,7,-42.767346,0.624187,-3.400202,-4.88281E-006,9.76563E-006,         0,1500.1263981685386,2047.9978045755913,215.64164621517605,23.76,23.94,23.78,23.84 
2025-05-19-11-13-09,0,103.png,4,6,-43.767429,0.624814,-3.400201,-4.88281E-006,-9.76563E-006,   -0.0001,1499.771372825754,2048.0642748950286,215.62062176591968,23.76,23.95,23.78,23.83 
2025-05-19-11-13-13,0,104.png,4,5,-44.767287,0.624787,-3.400201,9.76563E-006,-9.76563E-006,         0,1499.9768505246805,2047.9642456671286,215.61554138190746,23.77,23.95,23.78,23.85 
2025-05-19-11-13-17,0,105.png,4,4,-45.766919,0.624253,-3.4002,2.44141E-006,-9.76563E-006,         0,1500.1669321119969,2047.9904397471219,215.61015342249894,23.76,23.96,23.78,23.85 
2025-05-19-11-13-20,0,106.png,4,3,-46.766858,0.624167,-3.400199,4.88281E-006,         0,    0.0001,1499.93401327331,2048.0598190448504,215.6175842285679,23.77,23.94,23.79,23.85 
2025-05-19-11-13-24,0,107.png,4,2,-47.767255,0.624776,-3.400199,2.44141E-006,         0,    0.0001,1499.927058969909,2048.006985275677,215.60160564553738,23.77,23.95,23.78,23.85 
2025-05-19-11-13-28,0,108.png,4,1,-48.767217,0.624836,-3.400198,         0,4.88281E-006,    0.0002,1500.0907801329683,2048.0038174779374,215.57644755844612,23.77,23.95,23.79,23.85 
2025-05-19-11-13-32,0,109.png,4,0,-49.766724,0.624616,-3.400197,-2.44141E-006,         0,    0.0001,1499.9720084978958,2048.0257105685737,215.54032391219872,23.77,23.95,23.79,23.86 
2025-05-19-11-13-36,0,110.png,5,0,-49.767077,1.624621,-3.400197,9.76563E-006,-1.46484E-005,    0.0001,1500.0005195732747,2048.0302741215323,215.59487121335656,23.77,23.95,23.79,23.85 
2025-05-19-11-13-40,0,111.png,5,1,-48.767517,1.624999,-3.400197,         0,-9.76563E-006,    0.0001,1499.9589868158314,2048.064224617877,215.58487034152418,23.77,23.95,23.78,23.85 
2025-05-19-11-13-44,0,112.png,5,2,-47.767724,1.624829,-3.400198,-9.76563E-006,-9.76563E-006,    0.0001,1500.066112592869,2047.9843846593872,215.6140862703617,23.77,23.96,23.79,23.85 
2025-05-19-11-13-48,0,113.png,5,3,-46.767373,1.624342,-3.400199,-2.44141E-006,-4.88281E-006,    0.0001,1499.9591587353036,2048.053452636488,215.61083487792456,23.77,23.94,23.79,23.85 
2025-05-19-11-13-52,0,114.png,5,4,-45.767391,1.62411,-3.400199,-4.88281E-006,1.95313E-005,    0.0001,1500.043691914984,2047.9595523412177,215.620895701459,23.77,23.95,23.79,23.86 
2025-05-19-11-13-56,0,115.png,5,5,-44.767706,1.624612,-3.4002,2.44141E-006,-9.76563E-006,         0,1499.941216359603,2047.9773214880538,215.61027510189354,23.77,23.96,23.79,23.83 
2025-05-19-11-14-00,0,116.png,5,6,-43.767852,1.624736,-3.400201,9.76563E-006,-1.95313E-005,    0.0001,1500.0224416309698,2048.0716938489672,215.66196348706384,23.77,23.96,23.79,23.84 
2025-05-19-11-14-04,0,117.png,5,7,-42.767724,1.624325,-3.400201,         0,         0,         0,1499.9072766651016,2047.9625868387286,215.64995415606242,23.77,23.95,23.79,23.84 
2025-05-19-11-14-08,0,118.png,5,8,-41.767614,1.624219,-3.400202,9.76563E-006,9.76563E-006,   -0.0001,1499.8563738489327,2048.0193220357705,215.68194871616058,23.77,23.95,23.79,23.85 
2025-05-19-11-14-12,0,119.png,5,9,-40.76782,1.624143,-3.400203,4.88281E-006,1.95313E-005,   -0.0001,1500.032823628969,2047.9475555020854,215.6884862940747,23.77,23.96,23.79,23.86 
2025-05-19-11-14-16,0,120.png,5,10,-39.767984,1.624123,-3.400203,         0,1.46484E-005,   -0.0001,1500.0120240152662,2048.0073458567035,215.68716154997404,23.77,23.94,23.79,23.86 
2025-05-19-11-14-20,0,121.png,5,10,-39.767972,1.624327,-3.400203,-2.44141E-006,-1.95313E-005,         0,1500.0111946677978,2047.9608881569516,215.6913510058121,23.77,23.96,23.79,23.85 
